SiteSpp,Site,Spp
1,1,5
2,2,15
3,3,10
4,4,10
5,5,10
6,6,10
7,7,10
8,8,14
9,9,14
10,10,12
11,11,10
12,12,10
13,13,10
14,14,10
15,15,10
16,16,10
17,17,10
18,18,10
19,19,10
20,20,10
21,21,10
22,22,10
23,23,2
24,24,10
25,25,2
26,26,22
27,27,19
28,28,22
29,29,1
30,30,8
31,31,7
32,32,16
33,33,16
34,34,16
35,35,16
36,36,1
37,37,1
38,38,1
39,39,1
40,40,1
41,41,1
42,42,1
43,43,16
44,44,16
45,45,16
46,46,16
47,47,16
48,48,16
49,49,1
50,50,1
51,51,1
52,52,21
53,53,16
54,54,16
55,55,6
56,56,6
57,57,6
58,58,9
59,59,6
60,60,6
61,61,6
62,62,6
63,63,6
64,64,6
65,65,6
66,66,6
67,67,6
68,68,6
69,69,6
70,70,6
71,71,23
72,72,23
73,73,23
74,74,23
75,75,23
76,76,23
77,77,23
78,78,20
79,79,20
80,80,4
81,81,4
82,81,11
83,82,11
84,83,11
85,84,4
86,84,11
87,85,4
88,85,11
89,86,4
90,86,11
91,87,4
92,88,4
93,89,11
94,90,4
95,90,11
96,91,4
97,91,11
98,92,4
99,92,11
100,93,4
101,93,11
102,94,11
103,95,4
104,96,4
105,96,11
106,97,11
107,98,13
108,99,3
109,99,13
110,99,17
111,99,18
112,100,3
113,100,13
114,100,17
115,100,18
116,101,17
117,102,17
118,103,17
119,104,17
120,105,17
121,106,17
122,107,17
123,108,17
124,109,17
125,110,17
126,111,17
127,112,17
128,113,17
129,114,3
130,114,17
131,114,18
132,115,17
133,116,17
