"","original","new"
"1",1,1
"2",2,2
"3",3,3
"4",4,4
"5",5,5
"6",6,6
"7",7,7
"8",8,8
"9",9,9
"10",14,10
"11",15,11
"12",16,12
"13",18,13
"14",19,14
"15",21,15
"16",22,16
"17",23,17
"18",24,18
"19",25,19
"20",26,20
"21",27,21
"22",28,22
"23",30,23
"24",31,24
"25",32,25
"26",33,26
"27",34,27
"28",35,28
"29",36,29
"30",38,30
"31",39,31
"32",40,32
"33",41,33
"34",42,34
"35",43,35
"36",44,36
"37",48,37
"38",50,38
"39",52,39
"40",53,40
"41",54,41
"42",71,42
"43",72,43
"44",73,44
"45",74,45
"46",75,46
"47",76,47
"48",77,48
"49",78,49
"50",79,50
"51",82,51
"52",87,52
"53",88,53
"54",89,54
"55",94,55
"56",95,56
"57",98,57
"58",101,58
"59",102,59
"60",103,60
"61",104,61
"62",105,62
"63",106,63
"64",107,64
"65",108,65
"66",109,66
"67",110,67
"68",111,68
"69",112,69
"70",113,70
"71",115,71
"72",116,72
